Population by municipality and its change 31.12.2014

The data was downloaded from the address below and then translated to English. 
http://pxnet2.stat.fi/PXWeb/pxweb/fi/StatFin/StatFin__vrm__vaerak/010_vaerak_tau_123.px/?rxid=9d947544-9c3f-4f63-b239-dfad9361bedc

"Municipality","31.12.2014 Total","31.12.2014 Males","31.12.2014 Females","Change during 2014 Total","Change during 2014 Males","Change during 2014 Females"
"Akaa",17052,8477,8575,-56,-32,-24
"Alajärvi",10171,5102,5069,-56,-50,-6
"Alavieska",2687,1400,1287,-53,-16,-37
"Alavus",12103,6102,6001,-125,-39,-86
"Asikkala",8374,4155,4219,-31,-13,-18
"Askola",5064,2549,2515,73,31,42
"Aura",3982,1957,2025,20,13,7
"Brändö",474,263,211,-1,4,-5
"Eckerö",932,497,435,-15,-1,-14
"Enonkoski",1503,771,732,-19,-2,-17
"Enontekiö",1890,1009,881,-1,-2,1
"Espoo",265543,131429,134114,4790,2492,2298
"Eura",12314,6128,6186,-54,-22,-32
"Eurajoki",5954,2998,2956,23,19,4
"Evijärvi",2651,1383,1268,-34,-15,-19
"Finström",2535,1257,1278,15,21,-6
"Forssa",17521,8465,9056,-146,-81,-65
"Föglö",568,297,271,-4,-6,2
"Geta",494,254,240,-6,-4,-2
"Haapajärvi",7479,3816,3663,-137,-62,-75
"Haapavesi",7175,3670,3505,-66,-33,-33
"Hailuoto",997,518,479,-2,-4,2
"Halsua",1222,630,592,-7,-7,0
"Hamina",21061,10420,10641,-142,-72,-70
"Hammarland",1531,777,754,-9,-10,1
"Hankasalmi",5307,2640,2667,-97,-54,-43
"Hanko",9021,4546,4475,-88,-46,-42
"Harjavalta",7366,3593,3773,-41,0,-41
"Hartola",3071,1521,1550,-27,-16,-11
"Hattula",9738,4909,4829,54,28,26
"Hausjärvi",8815,4487,4328,7,21,-14
"Heinola",19695,9589,10106,-284,-150,-134
"Heinävesi",3638,1876,1762,-29,-21,-8
"Helsinki",620715,293113,327602,8051,4156,3895
"Hirvensalmi",2326,1173,1153,-12,-7,-5
"Hollola",21892,10771,11121,-95,-33,-62
"Honkajoki",1788,940,848,-31,-15,-16
"Huittinen",10487,5203,5284,-56,-43,-13
"Humppila",2440,1256,1184,-23,0,-23
"Hyrynsalmi",2490,1285,1205,-75,-36,-39
"Hyvinkää",46366,22643,23723,178,138,40
"Hämeenkoski",2104,1059,1045,18,10,8
"Hämeenkyrö",10610,5316,5294,28,29,-1
"Hämeenlinna",67976,32769,35207,170,162,8
"Ii",9666,4979,4687,56,15,41
"Iisalmi",22115,10859,11256,-56,-27,-29
