"sex" "player_id"
"2" "m" "101_y2_h"
"3" "m" "102_y1_n"
"4" "m" "103_h2_n"
"5" "m" "104_h1_h"
"6" "f" "105_y2_n"
"7" "f" "106_y1_h"
"8" "f" "107_h2_h"
"9" "m" "108_h1_n"
"10" "m" "109_y2_h"
"11" "f" "110_y1_n"
"12" "m" "111_h2_n"
"13" "f" "112_h1_h"
"14" "f" "113_y2_n"
"15" "m" "114_y1_h"
"16" "f" "115_h2_h"
"17" "m" "116_h1_n"
"18" "m" "117_y2_h"
"19" "f" "118_y1_n"
"20" "f" "119_h2_n"
"21" "f" "201_h2_n"
"22" "f" "202_h1_h"
"23" "m" "203_y2_h"
"24" "m" "204_y1_n"
"25" "f" "205_h2_h"
"26" "f" "206_h1_n"
"27" "f" "207_y2_n"
"28" "m" "208_y1_h"
"29" "m" "209_h2_n"
"30" "m" "210_h1_h"
"31" "f" "221_y2_h"
"32" "f" "222_y1_n"
"33" "f" "223_h2_h"
"34" "f" "224_h1_n"
"35" "m" "225_h2_n"
"36" "m" "226_h1_h"
"37" "m" "227_y2_n"
"38" "m" "228_y1_h"
"39" "m" "301_y2_h"
"40" "f" "302_y1_n"
"41" "f" "303_h1_h"
"42" "f" "304_h2_n"
"43" "m" "305_y1_h"
"44" "m" "306_y2_n"
"45" "m" "307_h2_h"
"46" "m" "308_h1_n"
"47" "m" "309_y2_n"
"48" "m" "310_y1_h"
"49" "m" "311_h2_n"
"50" "f" "312_h1_h"
"210" "f" "401_y1"
"310" "f" "402_y2"
"410" "m" "403_y1"
"51" "m" "404_y2"
"61" "f" "405_y1"
"71" "f" "406_y2"
"81" "f" "407_y1"
"91" "f" "408_y2"
"101" "m" "409_y1"
"111" "f" "410_y2"
"121" "f" "411_y1"
"131" "f" "412_y2"
"141" "f" "413_y1"
"151" "f" "414_y2"
"161" "m" "415_y1"
"171" "m" "416_y2"
"181" "f" "417_y1"
"191" "m" "418_y2"
"201" "m" "419_y1"
"211" "m" "420_y2"
"221" "f" "421_y1"
"231" "f" "422_y2"
"241" "f" "423_y1"
"251" "m" "424_y2"
"261" "f" "425_y1"
"271" "f" "426_y2"
"281" "f" "427_y1"
"291" "f" "428_y2"
"301" "f" "429_y1"
"311" "f" "430_y2"
"321" "f" "431_y1"
"331" "m" "432_y2"
